Actual,Predicted
0.477,0.7191228416019015
0.458,1.7640165706624202
5.00001,2.7096588334317175
2.186,2.8389259301839473
2.78,2.604657251810295
1.587,2.011753673249949
1.982,2.645500049376615
1.575,2.1687553212870796
3.4,2.7407464411384908
4.466,3.915614725032455
1.232,0.9389615628097658
2.539,1.9012217664440882
2.151,1.7587117811027255
2.205,2.2501597954690666
2.198,2.540869758213873
1.362,1.9174049020087907
1.784,2.3864829489270605
1.875,2.010930324963951
1.398,2.227409336660955
1.375,1.1185315173418005
4.25,2.9331307915131006
4.056,2.6609362120340876
1.388,1.8776690795225122
5.00001,3.351918252266273
1.621,2.24464196581922
0.514,0.9014366008493582
1.513,1.8449955988427647
0.948,1.6369502962777531
2.041,1.9188916718833653
3.615,3.254264392650988
0.851,1.5716906637246382
1.384,1.1268222788358244
1.375,2.057565865228142
4.65,3.6881241612354287
2.718,2.4135484193871406
2.394,2.5539747154622674
3.409,2.797544386143997
1.504,1.8539045625657593
1.281,1.0815874645091768
1.56,1.8522518000543968
2.581,3.098238257132401
0.905,1.4246318772124908
0.713,1.0443323247164216
2.197,2.0605114696628135
1.51,1.7597450934273482
2.901,1.8962650233721021
1.42,2.01648559943812
2.915,1.8442863810169001
2.554,2.071147979571627
0.981,1.4427760330352442
2.519,2.403725497017277
1.621,1.7266098459317405
1.294,1.8725118117001713
0.894,0.7256364130570248
1.505,1.8786128711213124
1.338,2.0882164715897815
0.804,0.8460960843296874
2.111,2.4622325775205383
2.556,2.4946816806325884
2.145,2.1889535134438844
5.00001,2.539225089244617
2.021,1.8769763366757886
0.815,1.1190117144007132
0.988,1.2997807011953597
2.819,2.9863747197851254
1.846,2.1845794811578827
2.547,1.7890926159450302
1.431,1.9421512802292753
1.625,1.5668682865683792
1.426,1.725606636938302
0.859,0.1946637163620366
1.869,2.693080791720689
0.713,1.2409240286555345
1.744,1.9532269937099684
2.25,2.1936236509612854
1.465,2.0082200466688604
4.05,3.326979434544242
1.896,2.080108428597434
1.644,2.4089944439590383
3.375,1.8382306119046703
0.725,0.7684447087915061
1.438,1.6140949346810842
1.6,1.589963698374632
1.181,1.372638571336772
3.74,3.4496622406454023
2.027,2.4618166014414697
0.966,1.4954308435901495
0.658,0.7913581855527738
1.674,1.6077840082750328
1.798,1.9360420895811004
0.967,1.884167677394828
2.661,2.412443253652988
0.911,1.6261902585257175
0.498,0.7606505487996102
0.907,0.975041018260022
1.158,1.4924054693282827
2.786,2.6825868140803664
2.5,1.6620203205099884
0.85,1.813387156051931
1.77,2.1204431972629436
0.997,1.517769565236982
3.576,4.0960012576314355
4.75,2.6265183079880217
2.736,3.030493304663757
1.824,2.2131312474245135
1.578,1.8593113575320999
1.938,1.6427450555800576
3.336,2.824612248253267
2.646,2.361146391650543
0.584,1.2320335109798037
1.734,1.9289923732177598
2.148,2.519147011678278
2.0,4.946137379254743
4.228,3.6668518292626118
0.936,1.4638287716867708
1.222,2.059267926726754
1.676,2.1157462661850417
3.036,2.3142217193553947
2.693,2.4524461451491675
2.644,2.3075593647469503
1.91,1.7407607793969504
1.538,2.2100245441730877
2.755,2.980787035573563
2.088,1.5888280489837427
1.423,1.6467605899771272
0.635,1.1234679680131592
0.958,0.7616710856200513
2.317,1.937716892785403
2.215,1.9968913303592046
0.895,1.4727312426811494
2.26,2.712105705065035
5.00001,6.801288273985392
2.702,2.8644523205024512
0.596,1.1837814693582303
1.933,2.0314184744811854
1.336,1.2912917551629164
1.619,2.581582069537035
3.575,2.4562543339604375
2.765,2.2667480050483917
4.107,2.702790921745695
3.75,1.6545461096335998
1.352,1.6799270980635086
1.672,1.7917488631281557
2.52,1.8414144115505593
3.084,3.8298202495815943
1.721,1.5987181856195676
5.00001,3.404945536386549
1.938,1.7242316051697273
1.052,0.4660849883487117
0.908,1.1812249138036677
1.688,1.5096587656431666
1.621,1.4599839081560333
1.612,2.260846402164539
1.375,1.649812208069747
2.893,2.506424683699443
2.787,2.796985996833726
1.617,2.2407446373688984
2.31,2.649066295919539
0.875,0.8820853140279041
0.957,1.3508426913940212
2.406,2.824917366676736
2.141,1.9690877675023444
4.286,3.6766676443067965
1.25,1.8415666791187846
0.764,0.34446708066531073
2.638,3.2177459861892572
